# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
32.190417,-17.779444,6.100,1.610
33.338333,74.027778,6.290,0.910
32.870833,57.645833,6.360,0.330
32.720000,39.039444,5.630,-0.020
32.723750,39.043056,6.100,-0.070
32.395000,-24.345833,6.480,0.290
32.656667,19.500278,5.700,1.650
32.288750,-43.516667,5.850,1.190
32.800000,25.936944,6.020,1.360
32.854167,31.526389,6.230,0.110
32.837917,8.569722,5.630,0.560
32.520417,-43.815556,6.320,0.900
32.606667,-50.824444,6.120,0.820
32.842500,-10.052222,6.010,0.390
32.899167,-1.825278,5.930,0.970
33.621250,66.524444,6.070,0.630
33.422917,58.561111,6.440,0.600
33.092917,30.303056,4.940,0.780
33.305417,44.231667,4.830,1.480
33.156250,24.167778,5.960,1.370
33.401250,51.065833,5.310,0.930
33.200417,21.210833,5.270,0.430
33.510833,47.484167,6.060,0.400
33.263750,15.279722,5.710,1.550
33.250000,8.846667,4.370,0.890
33.197917,-2.393611,5.540,0.570
33.253750,-21.000278,5.860,1.010
33.227083,-30.723889,5.280,-0.020
33.991250,47.811389,6.330,0.000
34.215417,57.055278,6.480,0.280
33.984167,33.358889,5.280,-0.010
33.941667,25.783056,5.790,0.440
33.928333,25.043056,5.580,0.490
33.867917,-9.465556,6.550,-0.020
33.633333,-41.166667,5.910,0.970
34.263333,34.224167,4.870,0.610
34.499583,57.899722,5.750,1.170
34.518750,57.516667,5.980,1.050
34.389167,44.306944,6.700,0.000
34.328750,33.847222,4.010,0.020
34.293333,23.767778,6.550,1.020
34.245833,-6.422222,5.510,0.960
33.561250,-67.841667,5.550,1.550
35.053750,64.337222,6.600,-0.030
34.531250,19.901111,5.620,0.010
34.820000,47.380000,5.300,-0.010
34.795417,46.472500,6.210,0.000
34.505833,1.757778,5.580,0.600
34.844583,48.955278,6.370,0.000
34.127500,-51.512222,3.560,-0.120
34.737500,28.642500,5.030,0.040
34.741667,23.167778,6.460,0.340
34.905417,39.835000,6.630,-0.090
33.868750,-67.746389,5.690,1.300
35.172500,47.310833,6.110,-0.080
35.018333,30.188333,6.470,0.000
34.836250,-2.977500,3.040,1.420
35.242500,50.151389,5.590,-0.130
34.743750,-25.945556,6.340,0.730
34.920000,-4.345556,6.500,0.080
35.589167,55.845556,5.170,0.370
34.852917,-41.848333,6.370,1.160
35.709583,41.396389,5.820,0.270
34.976250,-55.944722,5.810,1.550
35.485833,0.395833,5.280,1.650
35.965833,55.364444,6.280,0.860
35.551667,-0.885000,5.420,0.310
35.505833,-10.777778,5.460,0.350
35.520833,-17.662222,5.870,1.230
36.103750,50.006667,5.190,0.980
35.635833,-23.816389,5.200,0.600
36.316667,56.610000,6.250,0.310
35.740833,-18.354444,6.220,0.940
35.549167,-43.200000,6.310,1.000
36.405833,50.278611,4.710,1.530
35.777083,-37.576389,6.530,1.610
35.727500,-51.092222,5.920,0.220
36.204167,10.610556,5.470,-0.100
36.083750,-25.847500,6.440,1.320
36.243333,-2.780000,6.330,0.000
35.437083,-68.659444,4.090,0.030
36.140833,-40.840556,6.180,0.660
37.266667,67.402500,4.520,0.120
